,OperatingUnit,AASpecialist,AwardTitle,AwardDescription,Sector,Code,AmountRange,Incumbent,AwardActionType,SmallBusinessSetAside,FiscalYearofAction,AnticipatedAwardDate_raw,AnticipatedSolicitationReleaseDate_raw,AwardLength,SolicitationNumber,BusinessForecastStatusChange,Location,LastModifiedDate_raw,BaseAmount,CeilingAmount,AnticpatedAwardDate,AnticipatedSolicitationReleaseDate,LastModifiedDate
48,Benin,Lucrece Boko,Integrated Health Services Activity,"New malaria, maternal child health care and family planning integrated activity",Global Health,541990.0,$10M - $24.99M,,Cooperative Agreement,,2018.0,6/28/2018,2/08/2018,5 years,72068018RFA00001,Change in Award Title,Overseas,3/02/2018,10000000.0,24990000.0,2018-06-28,2018-02-08,2018-03-02
49,Burma,Frederique Rakotoarivelo,"Community Strengthening Project (previously ""Vulnerable Communities Activity in Areas Affected by Conflict."")","This activity will assist vulnerable communities in areas affected by conflict to improve access to essential services, recover from conflict, improve their resilience to future shocks, and empower them to fully participate in the democratic transition and national reconciliation efforts.","Democracy, Human Rights, and Governance",541990.0,$25M - $49.99M,,Contract,,2018.0,9/30/2018,3/19/2018,5 years,72048218R00005,Combination of Changes,Overseas,3/02/2018,25000000.0,49990000.0,2018-09-30,2018-03-19,2018-03-02
50,Burma,Frederique Rakotoarivelo,Myanmar Analytical Activity (MAA),"USAID/Burma (Myanmar) requires analytical support to supplement its current portfolio of health, economic growth, and democracy, governance and national reconciliation activities. The activity will primarily focus on the drivers of conflict impacting the implementation of development programs by USAID/ Burma, and enabling the Mission to better address emerging issues and react to unexpected political and economic events and social conditions.",Working in Crises and Conflict,,$1M - $3.99M,,Contract,,2018.0,8/31/2018,4/02/2018,2 years,,,Overseas,3/02/2018,1000000.0,3900000.0,2018-08-31,2018-04-02,2018-03-02
51,Burma,Maria Rosario Arenas,Promoting Rule of Law in Myanmar,"To promote transparency and accountability in the legal system, promote fair trial standards, improve access to justice and respect for human rights, and build public confidence in the legal system.","Democracy, Human Rights, and Governance",541990.0,$25M - $49.99M,Tetra Tech DPK,Contract,,2018.0,8/31/2018,1/18/2018,5 years,SOL-720-482-18-R-00002,,Overseas,3/01/2018,25000000.0,49990000.0,2018-08-31,2018-01-18,2018-03-01
52,Burundi,Godfrey Kyagaba,USAID Burundi TUBITEHO Health  Activity,Health Activity to increase the use of quality health systems in targeted provinces in Burundi.,Global Health,,$10M - $24.99M,,Cooperative Agreement,,2018.0,7/31/2018,3/23/2018,5 years,,,Overseas,3/02/2018,10000000.0,24990000.0,2018-07-31,2018-03-23,2018-03-02
53,Central Asia,"Koksalova, Jannat",Central Asia Media Activity,"The overall goal of the activity is to develop a more balanced information environment in Central Asia to increase openness among youth and adults for differing ideas, opinions and perspectives and in turn increase their engagement in civic participation.","Democracy, Human Rights, and Governance",,$10M - $24.99M,,Cooperative Agreement,,2018.0,9/28/2018,4/18/2018,5 years,,,Overseas,3/01/2018,10000000.0,24990000.0,2018-09-28,2018-04-18,2018-03-01
54,Central Asia,Brian LeCuyer,Tajikistan Agribusiness Competitiveness Activity,"The goal of this contract is to improve competitiveness of Tajikistan’s agricultural sector, including agribusinesses within the agricultural value chains in Tajikistan, leading to increased economic development, employment, and livelihoods.",Agriculture and Food Security,,$10M - $24.99M,,Contract,,2018.0,6/30/2018,1/04/2018,5 years,720115R00001,New Opportunity Not Previously Forecasted,Overseas,3/01/2018,10000000.0,24990000.0,2018-06-30,2018-01-04,2018-03-01
55,Central Asia,"Oliyarnik, Olessya",USAID/Central Asia Evaluation Mechanism,"The purpose of this contract is to provide USAID/Central Asia with services of conducting external/independent evaluations and assessments of various types over the course of five years.  It is anticipated that this Contract will assist the Mission and its partners and stakeholders to generate empirical data as well as foster learning and knowledge management through a participatory process in order to support stronger results and improve evidence-based programming. This, in turn, will promote more effective use of the Agency’s development assistance resources and provide greater transparency.",Management,,$4M - $9.99M,,Indefinite Delivery Indefinite Quantity Contract (IDIQ),Total set-aside,2018.0,9/28/2018,1/15/2018,5 years,72011518R00003,,Overseas,3/01/2018,4000000.0,9999000.0,2018-09-28,2018-01-15,2018-03-01
56,Democratic Republic of the Congo,Dany Kopo,"Establishing Conflict Free Supply Chains in Eastern DRC and Reducing the Vulnerability of Artisanal and 
Small-Scale Mining Communities to Conflict","Establishing Conflict Free Supply Chains in Eastern DRC and Reducing the Vulnerability of Artisanal and 
Small-Scale Mining Communities to Conflict",Economic Growth and Trade,541990.0,$4M - $9.99M,TBD,Broad Agency Announcement (BAA),,2018.0,5/31/2018,12/26/2017,5 years,720660BAA1800001,New Opportunity Not Previously Forecasted,Overseas,1/24/2018,4000000.0,9999000.0,2018-05-31,2017-12-26,2018-01-24
57,Democratic Republic of the Congo,Valery Kambo,USAID Environmental Policy and Capacity Support Activity,USAID Environmental Policy and Capacity Support Activity,Environment and Global Climate Change,,$10M - $24.99M,,Contract,TBD,2019.0,12/10/2018,4/16/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,11/02/2017,10000000.0,24990000.0,2018-12-10,2018-04-16,2017-11-02
58,Democratic Republic of the Congo,Valery N Kambo,USAID-Funded Community-Based Counter Wildlife Trafficking Activity,"Counter-wildlife trafficking activity to complement counter-Lord's Resistance Army activities in the region of the CAR / DRC border, including the Garamba, Bili, and Chinko protected areas.",Environment and Global Climate Change,,$4M - $9.99M,TBD,Cooperative Agreement,,2018.0,4/30/2018,1/03/2018,5 years,72060518RFA00002,Combination of Changes,Overseas,1/22/2018,4000000.0,9999000.0,2018-04-30,2018-01-03,2018-01-22
59,Djibouti,YORDANOS ABRAHAM,EARLY GRADE READING,EARLY GRADE READING,Education,541990.0,$10M - $24.99M,,Contract,,2018.0,6/30/2018,3/30/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/28/2018,10000000.0,24990000.0,2018-06-30,2018-03-30,2018-02-28
60,Egypt,Nevine Hindy,Centers of Excellence,"A new activity to assist the Government of Egypt to strengthen the capacity of Egyptian public universities to respond to changing public and private sector needs for applied research and skilled graduates in the sectors of agriculture and energy. Activities include faculty exchanges, joint degree programs, applied research, curriculum upgrade, laboratory equipment, fellowships and scholarships. Each Center will form public-private partnerships and specific networks agriculture and energy that will bring together the best minds in academia, government and the business community to seek applied research solutions that strengthen the effectiveness of policy making and drive innovation, competitiveness  and economic growth in the key sectors of agriculture and energy.",Education,,$25M - $49.99M,none,Cooperative Agreement,,2019.0,12/02/2018,4/30/2018,5 years,,Change in Anticipated Solicitation Date,Overseas,3/04/2018,25000000.0,49990000.0,2018-12-02,2018-04-30,2018-03-04
61,Egypt,Mona Beshai,"Economic Security, Regional Business, and Trade Development Project","A new activity to assist the government of Egypt undertake economic reforms, and to assist SMEs to build the capacity to take full advantage of new trade opportunities created by those reforms.  The project aims to improve bilateral trade flows with trading partners, increase trade and export earnings, and attract business and investment to Egypt.",Economic Growth and Trade,,$25M - $49.99M,,Contract,,2019.0,11/08/2018,3/30/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/04/2018,25000000.0,49990000.0,2018-11-08,2018-03-30,2018-03-04
62,El Salvador,TBD,Citizens Security.,"This project will seek to reduce urban violence thru strengthening community resilience, municipal service delivery and police engagement.","Democracy, Human Rights, and Governance",,$25M - $49.99M,,Task Order/Delivery Order (TO/DO),,2019.0,3/01/2019,6/01/2018,4 years,,New Opportunity Not Previously Forecasted,Overseas,2/28/2018,25000000.0,49990000.0,2019-03-01,2018-06-01,2018-02-28
63,El Salvador,Marielos Arce,Regional Integrated Trade,"The purpose of the Activity is to strengthen trade capacity and regional trade competitiveness by supporting the Central American countries, with emphasis in the Northern Triangle, to respond to the new global competition challenges and reduce the time and cost of trading across borders. 

This Activity will support the implementation of key elements under the World Trade Organization (WTO) Trade Facilitation Agreement and the regional Customs Union already being implemented by Honduras and Guatemala, and soon to be joined by El Salvador and Nicaragua.",Economic Growth and Trade,,$10M - $24.99M,"Nathan Associates, Inc.",Contract,,2018.0,3/21/2018,11/14/2017,5 years,,Combination of Changes,Overseas,11/28/2017,10000000.0,24990000.0,2018-03-21,2017-11-14,2017-11-28
64,Ethiopia,"Gebremedhin, Tsegereda",Supporting the Electronic Information Systems in Ethiopia to Improve,Supporting the Electronic Information Systems in Ethiopia to Improve,Global Health,541512.0,$50M - $99.99M,TBD,Contract,,2018.0,9/30/2018,5/31/2018,5 years,TBD,New Opportunity Not Previously Forecasted,Overseas,2/27/2018,50000000.0,99990000.0,2018-09-30,2018-05-31,2018-02-27
65,Georgia,Maya Chelidze,USAID's Agriculture Program in Georgia,The goal of USAID's Agriculture Activity in Georgia is to accelerate the growth of agricultural value chains that show strong potential to create jobs and increase SME revenues.,Agriculture and Food Security,,$10M - $24.99M,,Contract,,2019.0,12/28/2018,3/09/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/27/2018,10000000.0,24990000.0,2018-12-28,2018-03-09,2018-02-27
66,Georgia,Maya Chelidze,USAID's Economic Security Activity in Georgia,"The goal of USAID's Economic Security Activity in Georgia is to accelerate the growth of sectors outside of agriculture that show strong potential to create jobs, increase SME revenues, and support diversification away from subsistence agriculture to more productive economic activities.",Economic Growth and Trade,,$10M - $24.99M,TBD,Contract,,2019.0,12/28/2018,4/27/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,10000000.0,24990000.0,2018-12-28,2018-04-27,2018-03-02
67,Ghana,Samuel Nwanokwu,Amplify Family Planning and Sexual and Reproductive Health Activity (AMPLIFY-FP),"The Amplify Family Planning and Sexual and Reproductive Health Activity (Amplify-FP) is the flagship family planning and reproductive health (FP/RH) activity of the USAID/West Africa. Amplify-FP will emphasize key high impact practices (HIPs) to help achieve the goals of the Ouagadougou Partnership of achieving 2.2 million additional FP users by 2020. Building on the successes and lessons learned from AgirPF, other projects and bilateral missions in West Africa, and other recent notable achievements including the recent adoption of task shifting policy by the ECOWAS Assembly of Health Ministers, Amplify-FP aims to strategically and deliberately support replication and scale up of key FP HIPs in large urban and peri-urban centers, in order to sustainably build and scale these approaches within four target countries and model this for the region.

By the end of this 5-year activity, there will be substantial increase in access to and use of family planning. This is expected to be achieved through the replication and scale up of selected key FP HIPs in the four-targeted countries: Burkina Faso, Côte D’Ivoire, Niger, and Togo.",Global Health,,$10M - $24.99M,,Cooperative Agreement,,2018.0,7/06/2018,2/16/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/27/2018,10000000.0,24990000.0,2018-07-06,2018-02-16,2018-02-27
68,Ghana,Robyn Bertholon,West Africa Municipal WASH,"USAID/West Africa seeks to partner with an organization/consortium to work in Benin and Cote d’Ivoire to strengthen the ability of municipal governments and urban water and sanitation service providers to expand, improve, and sustain equitable water and sanitation services through enhanced financial viability, operational reliability and transparency. Working with national and regional institutions, the USAID/West Africa Municipal Water, Sanitation and Hygiene (WASH) activity shall support city governments and utilities to professionalize services, fill critical needs, and reach unserved populations.",Water and Sanitation,,$10M - $24.99M,Florida International University,To Be Determined (TBD),,2018.0,9/28/2018,5/16/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,11/28/2017,10000000.0,24990000.0,2018-09-28,2018-05-16,2017-11-28
69,Guatemala,Indyra Gonzalez,"Community Engagement for Peacebuilding Project (DG/CARSI&DV) (Formerly listed as ""Community Engagement for Conflict Transformation Project"")","The purpose of the project is to reduce social conflict and improve social cohesion in Guatemala’s Western Highlands Region. The project seeks to bring together diverse sectors and stakeholders within communities in the Western Highlands to identify and address the main drivers of social conflict at the familial, community, and municipal levels. Through a rigorous community-based development (CBD) approach, the project will actively engage community members as participants and leaders in transforming conflict, restoring the social fabric, and building peace in their communities.","Democracy, Human Rights, and Governance",,$25M - $49.99M,TBD,Cooperative Agreement,,2017.0,3/15/2018,6/27/2017,5 years,,Change in Award Date,Overseas,2/12/2018,25000000.0,49990000.0,2018-03-15,2017-06-27,2018-02-12
70,Guatemala,Deborah Perlman,Justice and Transparency Project,"The purpose of the project is to strengthen security and justice sector institutions to more effectively and efficiently investigate, prosecute and adjudicate crime in order to reduce impunity in Guatemala.","Democracy, Human Rights, and Governance",,$25M - $49.99M,"Checchi & Company Consulting, Inc.",Contract,,2018.0,11/30/2018,3/30/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,1/04/2018,25000000.0,49990000.0,2018-11-30,2018-03-30,2018-01-04
71,Guatemala,Indyra Gonzalez,National Institution Strengthening for Accountable Governance,"Provide technical assistance and capacity building to increase the effectiveness of public administration and financial management systems and processes within key GOG institutions; improve the capacity of public institutions to responsively, equitably, and effectively fulfill their mandate; and increase civil society participation, advocacy, and oversight in government decision making.","Democracy, Human Rights, and Governance",,$25M - $49.99M,DAI Global LLC,Contract,,2018.0,6/28/2019,9/28/2018,5 years,,Change in Anticipated Solicitation Date,Overseas,2/12/2018,25000000.0,49990000.0,2019-06-28,2018-09-28,2018-02-12
72,Guatemala,Fabiola Loy,"Nutrition, MCH and Family Planning","Nutrition, MCH and Family Planning",Global Health,,$10M - $24.99M,--,Cooperative Agreement,,2018.0,11/15/2018,5/31/2018,5 years,,Change in Anticipated Solicitation Date,Overseas,2/26/2018,10000000.0,24990000.0,2018-11-15,2018-05-31,2018-02-26
73,Guatemala,Fabiola Loy,Policy Education & Youth Project,Policy Education & Youth Project,Education,,$4M - $9.99M,,Contract,Small Disadvantaged Business set-aside,2018.0,12/31/2018,7/31/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/01/2018,4000000.0,9999000.0,2018-12-31,2018-07-31,2018-03-01
74,Guatemala,Fabiola Loy,Reaching & Linking with Key Population (Combination Prevention),Reaching & Linking Key Populations (Combination Prevention),Global Health,,$10M - $24.99M,--,Cooperative Agreement,,2018.0,11/30/2018,5/31/2018,5 years,,Change in Anticipated Solicitation Date,Overseas,2/26/2018,10000000.0,24990000.0,2018-11-30,2018-05-31,2018-02-26
75,Guatemala,Carolina Villegas,Sustainable Forest Management and Water Activity,"Support Guatemala to develop a comprehensive approach to mitigate and adapt to climate change by improving natural resource management, building technical and institutional capacity, and supporting the implementation of legal and policy frameworks.",Environment and Global Climate Change,,$10M - $24.99M,,To Be Determined (TBD),,2019.0,1/31/2019,7/31/2018,5 years,,Combination of Changes,Overseas,3/01/2018,10000000.0,24990000.0,2019-01-31,2018-07-31,2018-03-01
76,Haiti,Andre-Guy Soh,Improving Governance in Haiti Initiative (IGHI),To strengthen governance systems in the Republic of Haiti.,"Democracy, Human Rights, and Governance",,$10M - $24.99M,TBD,Contract,,2018.0,6/27/2018,3/30/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/13/2018,10000000.0,24990000.0,2018-06-27,2018-03-30,2018-02-13
77,Haiti,,Platform for Investment Mobilization,"The Haiti Platform for Investment Mobilization is intended to provide a vehicle for catalyzing financing for Haitian ventures and businesses, but with that financing coming from (and financing decisions being made by) Haitian banks and other financial intermediaries. Through this approach, the Mission will provide a more cost-effective and sustainable means to capitalize promising Haitian businesses, will be able to leverage its limited funding, and will build capacity within the Haitian financial community.",Economic Growth and Trade,,$10M - $24.99M,,To Be Determined (TBD),,2019.0,12/17/2018,3/16/2018,,,Change in Anticipated Solicitation Date,Overseas,1/29/2018,10000000.0,24990000.0,2018-12-17,2018-03-16,2018-01-29
78,Honduras,Blanca Nunez,Improving Tertiary Violence Prevention,"The overall goal of this project is to create a risk-based juvenile justice system that reduces recidivism within targeted populations of high risk juveniles, by improving the organizational and technical capacity of Honduran service providers and policy makers to provide specific, targeted, and high-quality services to highest-risk secondary and tertiary juvenile populations. To accomplish this goal, this program will work both to improve the capacity of organizations that provide violence prevention services to secondary and tertiary juvenile populations by providing policy guidance to the Government of Honduras on how to most effectively collaborate with those providers in order to improve public safety.","Democracy, Human Rights, and Governance",,$4M - $9.99M,,Cooperative Agreement,TBD,2018.0,6/07/2018,2/01/2018,4 years,720-522-18-RFA-00003,Combination of Changes,Overseas,3/01/2018,4000000.0,9999000.0,2018-06-07,2018-02-01,2018-03-01
79,India,Robert Trimble,HIV/AIDS Program,HIV Services for Key Populations Affected by HIV/AIDS,Global Health,,$10M - $24.99M,,Cooperative Agreement,,2018.0,9/30/2018,3/12/2018,5 years,TBD,New Opportunity Not Previously Forecasted,Overseas,2/15/2018,10000000.0,24990000.0,2018-09-30,2018-03-12,2018-02-15
80,India,Sumit Dutta,"Harnessing​ ​Local​ ​Innovations,​ ​Expertise​ ​and​ ​Partnership​ ​to​ ​Solve Development​ ​Challenges​ ​in​ ​Asia","Harnessing​ ​Local​ ​Innovations,​ ​Expertise​ ​and​ ​Partnership​ ​to​ ​Solve Development​ ​Challenges​ ​in​ ​Asia",Agriculture and Food Security,,$1M - $3.99M,TBD,Broad Agency Announcement (BAA),,2018.0,5/31/2018,12/22/2017,3 years,TBD,New Opportunity Not Previously Forecasted,Overseas,1/03/2018,1000000.0,3900000.0,2018-05-31,2017-12-22,2018-01-03
81,India,Charushila Lal,INDIA PARTNERSHIPS PROGRAM APS 2.0,"This Annual Program Statement (APS) 2.0 for the India Partnerships Program (IPP) is USAID/India’s invitation to potential Resource Partners.  These are private sector businesses (particularly Indian private businesses), foundations, financial institutions, entrepreneurs, investors, philanthropists, and others that can identify and suggest ways to utilize their financial resources to collaborate with USAID/India.  This invitation is equally extended to potential public sector partners (e.g., the Government of India, public companies, as well as other bilateral and multilateral donors).

The APS is also USAID/India’s invitation to prospective Implementing Partners (e.g., NGOs, private sector concerns, and others) who can engage and work with Resource Partners.  USAID/India encourages Indian implementing organizations (for-profit and not-for-profit non-governmental organizations) and non-traditional Indian development partners, to reach out to Resource Partners, Indian or otherwise, and explore ways in which collaboration with USAID/India might help advance shared development goals.",Water and Sanitation,,$10M - $24.99M,,Cooperative Agreement,,2017.0,9/29/2017,3/31/2016,5 years,APS-386-16-000001,,Overseas,10/06/2017,10000000.0,24990000.0,2017-09-29,2016-03-31,2017-10-06
82,India,Sumit Dutta,INDIA PARTNERSHIPS PROGRAM APS 2.0,"This Annual Program Statement (APS) 2.0 for the India Partnerships Program (IPP) is USAID/India’s invitation to potential Resource Partners.  These are private sector businesses (particularly Indian private businesses), foundations, financial institutions, entrepreneurs, investors, philanthropists, and others that can identify and suggest ways to utilize their financial resources to collaborate with USAID/India.  This invitation is equally extended to potential public sector partners (e.g., the Government of India, public companies, as well as other bilateral and multilateral donors).

The APS is also USAID/India’s invitation to prospective Implementing Partners (e.g., NGOs, private sector concerns, and others) who can engage and work with Resource Partners.  USAID/India encourages Indian implementing organizations (for-profit and not-for-profit non-governmental organizations) and non-traditional Indian development partners, to reach out to Resource Partners, Indian or otherwise, and explore ways in which collaboration with USAID/India might help advance shared development goals.",Agriculture and Food Security,,$1M - $3.99M,,Cooperative Agreement,,2017.0,9/29/2017,3/31/2016,5 years,APS-386-16-000001,,Overseas,10/06/2017,1000000.0,3900000.0,2017-09-29,2016-03-31,2017-10-06
83,India,TBD,INDIA PARTNERSHIPS PROGRAM APS 2.0,"This Annual Program Statement (APS) 2.0 for the India Partnerships Program (IPP) is USAID/India’s invitation to potential Resource Partners. These are private sector businesses (particularly Indian private businesses), foundations, financial institutions, entrepreneurs, investors, philanthropists, and others that can identify and suggest ways to utilize their financial resources to collaborate with USAID/India. This invitation is equally extended to potential public sector partners (e.g., the Government of India, public companies, as well as other bilateral and multilateral donors). 

The APS is also USAID/India’s invitation to prospective Implementing Partners (e.g., NGOs, private sector concerns, and others) who can engage and work with Resource Partners. USAID/India encourages Indian implementing organizations (for-profit and not-for-profit non-governmental organizations) and non-traditional Indian development partners, to reach out to Resource Partners, Indian or otherwise, and explore ways in which collaboration with USAID/India might help advance shared development goals.",Global Health,,$10M - $24.99M,,Cooperative Agreement,,2017.0,9/29/2017,3/31/2016,5 years,APS-386-16-000001,,Overseas,10/06/2017,10000000.0,24990000.0,2017-09-29,2016-03-31,2017-10-06
84,India,Vandana S. Vats,New Forestry Design (Forestry 2.0),New Forestry Design (Forestry 2.0),Environment and Global Climate Change,115310.0,$10M - $24.99M,,Contract,,2018.0,9/28/2018,12/29/2017,5 years,,New Opportunity Not Previously Forecasted,Overseas,1/16/2018,10000000.0,24990000.0,2018-09-28,2017-12-29,2018-01-16
85,India,Vandana Vats,Transforming Utilities to Embrace New Energy Future,Transforming Utilities to Embrace New Energy Future,Environment and Global Climate Change,541690.0,"$150,000 - $499,999",,Cooperative Agreement,,2018.0,7/07/2018,2/26/2013,3 years,APS-386-16-000001,New Opportunity Not Previously Forecasted,Overseas,3/05/2018,150000.0,499999.0,2018-07-07,2013-02-26,2018-03-05
86,Indonesia,Sabrina Simanjuntak,"ASEAN USAID IGNITE - Inclusive Growth in ASEAN through Innovation, Trade and e-Commerce","The goal of the ASEAN Economic Integration Support project (title TBD) is to strengthen institutions to support trade and investment facilitation in goods and services within the ASEAN Economic Community (AEC) and its trading partners.  Building on previous USAID projects, this project will work with other U.S. Government economic agencies and initiatives, as well as with private sector partners, to improve and harmonize policy and standards and reduce barriers to increased trade and investment within ASEAN and between ASEAN and the global economy, including the United States.  The project will support increased integration of science, technology and innovation into economic policies and practices as well as increased access and engagement of ASEAN citizens--particularly youth, women, and small businesses--in economic prosperity.",Economic Growth and Trade,,$10M - $24.99M,,Contract,,2018.0,9/20/2018,1/12/2018,5 years,72049718R00006,,Overseas,3/01/2018,10000000.0,24990000.0,2018-09-20,2018-01-12,2018-03-01
87,Indonesia,Rebecca Renaningtyas,ASEAN-USAID PROSPECT - Partnership for Regional Integration in Political Security and Social Cultural,"The ASEAN-US Partnership for Regional Integration in Political Security and Social Culture (preliminary entitled PROSPECT)  will align with the U.S. – ASEAN Development Cooperation Framework by partnering with ASEAN and its Member States to create a more prosperous Southeast Asia with strengthened regional integration that addresses social and economic inequities through improved, multi-laterally developed policies.  The AICB project will consider the ASEAN Community Vision 2025, activity evaluations, design team consultation findings, and bilateral projects that address ASEAN strategic goals.  Ultimately, the PROSPECT project will continue to strengthen ASEAN community institutions to improve their ability to implement policies.",Economic Growth and Trade,,$10M - $24.99M,,Contract,,2018.0,9/15/2018,2/06/2018,5 years,,Combination of Changes,Overseas,3/01/2018,10000000.0,24990000.0,2018-09-15,2018-02-06,2018-03-01
88,Indonesia,Helen Mintarso,DRG - The Civil Society Initiative Support (CSI),"The Civil Society Initiative Support (CSI)  is a civil society organization strengthening activities to empower civil society to strengthen democratic governance in Indonesia. The initiative will focus on civil society at the local level, in particular at the district level and below, where state ideology, public service delivery, and associational life often mix in unpredictable ways","Democracy, Human Rights, and Governance",,$10M - $24.99M,,To Be Determined (TBD),,2019.0,2/23/2019,9/28/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/01/2018,10000000.0,24990000.0,2019-02-23,2018-09-28,2018-03-01
89,Indonesia,Yulian Christanti,HEA - Health Financing Activity,"USAID/Indonesia’s new Health Financing (HF) Activity aims to improve the efficiency, equity, predictability and sustainability of Government of Indonesia (GOI) financing for health by building capacity within government and academic centers to analyze and design financing reforms. This Activity will use the financing lever to improve service delivery outcomes for USAID priority areas of HIV, MNH, and TB.",Global Health,,$10M - $24.99M,,To Be Determined (TBD),TBD,2019.0,3/08/2019,6/29/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/01/2018,10000000.0,24990000.0,2019-03-08,2018-06-29,2018-03-01
90,Indonesia,Yulian Christanti,HEA - TB Private Sector Activity,"Improving TB case detection, treatment and cure across Indonesia and reducing the TB burden of disease in Indonesia through partnering with private providers.",Global Health,,$10M - $24.99M,,To Be Determined (TBD),,2019.0,12/14/2018,4/02/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/01/2018,10000000.0,24990000.0,2018-12-14,2018-04-02,2018-03-01
91,Jordan,Beatrice Diah,EDE - New Competitiveness Project,New Competitiveness Project,Economic Growth and Trade,541990.0,$50M - $99.99M,Development Alternatives Inc.,Contract,,2019.0,4/30/2019,10/31/2018,5 years,,Combination of Changes,Overseas,3/01/2018,50000000.0,99990000.0,2019-04-30,2018-10-31,2018-03-01
92,Jordan,Zeina Al-Twal,EDY - Enhancing School Management and Planning,"Improve the time and budget management and overall quality of the school environment in Jordan by building the planning, oversight and operation and maintenance capabilities of the Ministries of Education and Public Works and Housing.",Education,,$4M - $9.99M,,Contract,,2018.0,9/30/2018,3/15/2018,4 years,,Combination of Changes,Overseas,2/14/2018,4000000.0,9999000.0,2018-09-30,2018-03-15,2018-02-14
93,Jordan,Garth Patterson,"USAID/Jordan Monitoring, Evaluation & Learning Project (USAID MELP)","The Contractor shall design and implement a Monitoring, Evaluation and Learning Project (MELP) that will contribute to ensuring that USAID’s development programs in Jordan achieve their intended results through an efficient and effective mechanism.",Management,541990.0,$25M - $49.99M,Management Systems International,Contract,TBD,2019.0,12/27/2018,4/01/2018,5 years,,Combination of Changes,Overseas,3/01/2018,25000000.0,49990000.0,2018-12-27,2018-04-01,2018-03-01
94,Kenya,Caroline Munene,Kenya Tuberculosis Support Program,This activity will incorporate elements of the Accelerating Progress Against TB (TB-ARC) activity including strengthening the Kenya Ministry of Health National TB Program leadership and management capacity to reduce the TB burden in Kenya.,Global Health,,$25M - $49.99M,Centre for Health Solutions (CHS) Kenya,To Be Determined (TBD),,2018.0,8/31/2018,4/03/2018,5 years,TBD,Change in Anticipated Solicitation Date,Overseas,2/28/2018,25000000.0,49990000.0,2018-08-31,2018-04-03,2018-02-28
95,Kyrgyz Republic,Aliya Baioralova,USAID/Kyrgyz Republic Enterprise Competitiveness Project,This activity will focus on two firm-specific development outcomes that would be directly attributable to USAID in the Kyrgyz Republic--increased sales and employment generation.,Economic Growth and Trade,541990.0,$10M - $24.99M,,Contract,,2018.0,9/28/2018,1/26/2018,5 years,72011518R00002,,Overseas,3/01/2018,10000000.0,24990000.0,2018-09-28,2018-01-26,2018-03-01
96,Liberia,"Lamin, Edward S.",Phase 2 Beyond the Grid,Follow on of Beyond the Grid energy powere activities,Economic Growth and Trade,,$1M - $3.99M,TBD,To Be Determined (TBD),,2018.0,4/30/2018,3/30/2018,,TBD,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,1000000.0,3900000.0,2018-04-30,2018-03-30,2018-03-02
97,Liberia,Edward S. Lamin,Policy Dialogue Project (PDP),Promoting Private Sector Competitiveness.,Economic Growth and Trade,541690.0,$4M - $9.99M,TBD,Indefinite Delivery Indefinite Quantity Contract (IDIQ),,2018.0,6/26/2018,3/30/2017,4 years,TBD,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,4000000.0,9999000.0,2018-06-26,2017-03-30,2018-03-02
98,Liberia,Mary Wambugu,TBD,Restoration of Mein River 2.5km road,Economic Growth and Trade,,$300M - $499.99M,,Task Order/Delivery Order (TO/DO),,2018.0,4/20/2018,2/20/2018,10-12 months,72066918R00006,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,300000000.0,499990000.0,2018-04-20,2018-02-20,2018-03-02
99,Liberia,Edward Lamin,TBD,Ft F  Feeder road utilizing Local IDIQ,Economic Growth and Trade,,"$500,000 - $999,999",TBD,Task Order/Delivery Order (TO/DO),,2018.0,4/15/2018,2/09/2018,2 years,72066918R00004,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,500000.0,999999.0,2018-04-15,2018-02-09,2018-03-02
100,Madagascar,Iaina Rabemanantsoa,Accessible Continuum of Care and Essential Services Sustained (ACCESS) - (Mikolo Follow-on),"The primary purpose of this activity is to build the capacity of MOPH actors at the district level and below in all districts within the implementation regions to design, develop, manage, deliver, monitor and evaluate health services and programs in their catchment areas.",Global Health,,$50M - $99.99M,TBD,Cooperative Agreement,,2017.0,1/31/2018,9/15/2017,5 years,TBD,Combination of Changes,Overseas,10/06/2017,50000000.0,99990000.0,2018-01-31,2017-09-15,2017-10-06
